state_name,state_abbr,state_fips,year,month,SEPU
Alabama,AL,1,2003,2,78.7681039298744
Alabama,AL,1,2003,3,218.200520590176
Alabama,AL,1,2003,4,80.5045532181751
Alabama,AL,1,2003,5,149.506773388691
Alabama,AL,1,2003,6,56.165923648708
Alabama,AL,1,2003,7,132.606979607787
Alabama,AL,1,2003,8,134.240221228415
Alabama,AL,1,2003,9,162.630797225776
Alabama,AL,1,2003,10,99.0236350531622
Alabama,AL,1,2003,11,102.921742394195
Alabama,AL,1,2003,12,31.6033442083836
Alabama,AL,1,2004,1,87.8773293419077
Alabama,AL,1,2004,2,149.903722842445
Alabama,AL,1,2004,3,74.5092278319772
Alabama,AL,1,2004,4,79.0065247743742
Alabama,AL,1,2004,5,68.3457294702071
Alabama,AL,1,2004,6,64.84666592475359
Alabama,AL,1,2004,7,20.2664659553567
Alabama,AL,1,2004,8,68.65121512491061
Alabama,AL,1,2004,9,40.5927326648987
Alabama,AL,1,2004,10,24.1103919557995
Alabama,AL,1,2004,11,47.6011953797534
Alabama,AL,1,2004,12,26.8558972616512
Alabama,AL,1,2005,1,61.6012150819301
Alabama,AL,1,2005,2,24.5609723229431
Alabama,AL,1,2005,3,71.2247645385435
Alabama,AL,1,2005,4,76.74987683086439
Alabama,AL,1,2005,5,92.0351936230374
Alabama,AL,1,2005,6,78.8744922200018
Alabama,AL,1,2005,7,17.6350786140531
Alabama,AL,1,2005,8,60.0689580982797
Alabama,AL,1,2005,9,7.78423339697091
Alabama,AL,1,2005,10,30.3196209332241
Alabama,AL,1,2005,11,88.3676273605531
Alabama,AL,1,2005,12,27.5702663793114
Alabama,AL,1,2006,1,28.6755831734709
Alabama,AL,1,2006,2,13.4037893230358
Alabama,AL,1,2006,3,24.0559858269661
Alabama,AL,1,2006,4,40.9072772162648
Alabama,AL,1,2006,5,22.755279093426
Alabama,AL,1,2006,6,66.21534187711509
Alabama,AL,1,2006,7,52.2465607895347
Alabama,AL,1,2006,8,52.0640091247273
Alabama,AL,1,2006,9,36.9429553782454
Alabama,AL,1,2006,10,34.6234317705947
Alabama,AL,1,2006,11,13.6919746841759
Alabama,AL,1,2006,12,12.8813639916628
Alabama,AL,1,2007,1,65.7050436864331
Alabama,AL,1,2007,2,81.9792442528877
Alabama,AL,1,2007,3,63.4034768905028
Alabama,AL,1,2007,4,58.4536414608459
Alabama,AL,1,2007,5,45.9599226325648
Alabama,AL,1,2007,6,56.3061753908555
Alabama,AL,1,2007,7,40.4182879860166
Alabama,AL,1,2007,8,71.2820206349528
Alabama,AL,1,2007,9,36.1709378051757
Alabama,AL,1,2007,10,40.2004101913721
Alabama,AL,1,2007,11,80.27509881027321
Alabama,AL,1,2007,12,48.4736460151461
Alabama,AL,1,2008,1,46.0476885264161
Alabama,AL,1,2008,2,99.9392179527739
Alabama,AL,1,2008,3,101.494355632545
Alabama,AL,1,2008,4,80.7631161107979
Alabama,AL,1,2008,5,191.8093717933
Alabama,AL,1,2008,6,77.34488836633579
Alabama,AL,1,2008,7,120.459539200926
Alabama,AL,1,2008,8,120.446732164282
Alabama,AL,1,2008,9,97.45812148909739
Alabama,AL,1,2008,10,209.772713342142
Alabama,AL,1,2008,11,161.033966154484
Alabama,AL,1,2008,12,165.530818237572
Alabama,AL,1,2009,1,155.237442821548
Alabama,AL,1,2009,2,267.381674346016
Alabama,AL,1,2009,3,103.595216700314
Alabama,AL,1,2009,4,152.134083051934
Alabama,AL,1,2009,5,127.523234423568
Alabama,AL,1,2009,6,145.176178614825
Alabama,AL,1,2009,7,72.69554171239371
Alabama,AL,1,2009,8,114.076039189374
Alabama,AL,1,2009,9,124.636814487936
Alabama,AL,1,2009,10,77.44881615751829
Alabama,AL,1,2009,11,116.406632829546
Alabama,AL,1,2009,12,120.748493231636
Alabama,AL,1,2010,1,106.740895912374
Alabama,AL,1,2010,2,81.26854536695831
Alabama,AL,1,2010,3,107.249310426481
Alabama,AL,1,2010,4,134.143454414116
Alabama,AL,1,2010,5,150.591581222415
Alabama,AL,1,2010,6,119.89800566845
Alabama,AL,1,2010,7,140.041870941342
Alabama,AL,1,2010,8,140.250242737455
Alabama,AL,1,2010,9,118.45282339713
Alabama,AL,1,2010,10,100.289679921925
Alabama,AL,1,2010,11,57.1042869826256
Alabama,AL,1,2010,12,98.65911834849869
Alabama,AL,1,2011,1,138.790978221479
Alabama,AL,1,2011,2,91.10529089023581
Alabama,AL,1,2011,3,102.70339957586
Alabama,AL,1,2011,4,101.420663731106
Alabama,AL,1,2011,5,78.3699775009141
Alabama,AL,1,2011,6,87.2628386993932
Alabama,AL,1,2011,7,105.583702630111
Alabama,AL,1,2011,8,136.803444151022
Alabama,AL,1,2011,9,195.912053515869
Alabama,AL,1,2011,10,153.469227866324
Alabama,AL,1,2011,11,100.466282839197
Alabama,AL,1,2011,12,130.602267930534
Alabama,AL,1,2012,1,64.52131442911239
Alabama,AL,1,2012,2,31.4653732595949
Alabama,AL,1,2012,3,113.989835544501
Alabama,AL,1,2012,4,109.575328827666
Alabama,AL,1,2012,5,57.339348338134
Alabama,AL,1,2012,6,77.4389748145299
Alabama,AL,1,2012,7,80.2380444149637
Alabama,AL,1,2012,8,59.6193506841882
Alabama,AL,1,2012,9,59.2278289439042
Alabama,AL,1,2012,10,58.0994657302957
Alabama,AL,1,2012,11,70.60882883610159
Alabama,AL,1,2012,12,79.2238312741561
Alabama,AL,1,2013,1,79.58417904128309
Alabama,AL,1,2013,2,82.58895414768151
Alabama,AL,1,2013,3,86.12002319527259
Alabama,AL,1,2013,4,59.7224370798063
Alabama,AL,1,2013,5,60.939237646253
Alabama,AL,1,2013,6,134.375755448085
Alabama,AL,1,2013,7,187.586891246819
Alabama,AL,1,2013,8,176.840330996981
Alabama,AL,1,2013,9,136.976055516772
Alabama,AL,1,2013,10,113.087188392762
Alabama,AL,1,2013,11,98.3185928664159
Alabama,AL,1,2013,12,81.9354042634878
Alabama,AL,1,2014,1,138.529244787252
Alabama,AL,1,2014,2,85.7918062192161
Alabama,AL,1,2014,3,80.1127956375624
Alabama,AL,1,2014,4,89.49163429745749
Alabama,AL,1,2014,5,116.775551107523
Alabama,AL,1,2014,6,10.4194108029792
Alabama,AL,1,2014,7,31.0863193624541
Alabama,AL,1,2014,8,99.47885185602711
Alabama,AL,1,2014,9,129.693700302267
Alabama,AL,1,2014,10,42.3245915505041
Alabama,AL,1,2014,11,57.1701436002545
Alabama,AL,1,2014,12,55.1788138618449
Alabama,AL,1,2015,1,101.570758227294
Alabama,AL,1,2015,2,94.8324754059186
Alabama,AL,1,2015,3,70.0069889558177
Alabama,AL,1,2015,4,149.238239435793
Alabama,AL,1,2015,5,154.438555938257
Alabama,AL,1,2015,6,135.812359351256
Alabama,AL,1,2015,7,100.083010749899
Alabama,AL,1,2015,8,63.9262782168711
Alabama,AL,1,2015,9,56.9940516497619
Alabama,AL,1,2015,10,45.8507916741716
Alabama,AL,1,2015,11,80.1929204456797
Alabama,AL,1,2015,12,73.2289603594341
Alabama,AL,1,2016,1,179.74666831094
Alabama,AL,1,2016,2,33.2741631197558
Alabama,AL,1,2016,3,167.918266356938
Alabama,AL,1,2016,4,49.848020289193
Alabama,AL,1,2016,5,115.721966229927
Alabama,AL,1,2016,6,92.5780020443069
Alabama,AL,1,2016,7,21.9947113707418
Alabama,AL,1,2016,8,69.3311150213672
Alabama,AL,1,2016,9,75.70232307663591
Alabama,AL,1,2016,10,92.8393642205705
Alabama,AL,1,2016,11,21.4346593727626
Alabama,AL,1,2016,12,4.92959129590546
Alabama,AL,1,2017,1,184.2755541691
Alabama,AL,1,2017,2,45.4272452483284
Alabama,AL,1,2017,3,77.10515554210301
Alabama,AL,1,2017,4,18.7184807323017
Alabama,AL,1,2017,5,64.8647819241685
Alabama,AL,1,2017,6,50.2313430213075
Alabama,AL,1,2017,7,188.072295590149
Alabama,AL,1,2017,8,27.3146235884269
Alabama,AL,1,2017,9,111.232067792456
Alabama,AL,1,2017,10,44.8660617312609
Alabama,AL,1,2017,11,91.0732755039574
Alabama,AL,1,2017,12,108.065554381362
Alabama,AL,1,2018,1,30.0878785648283
Alabama,AL,1,2018,2,77.48036067866001
Alabama,AL,1,2018,3,22.6366870103028
Alabama,AL,1,2018,4,61.6625212188788
Alabama,AL,1,2018,5,0
Alabama,AL,1,2018,6,30.6426693218236
Alabama,AL,1,2018,7,61.3956518143677
Alabama,AL,1,2018,8,81.9338990233944
Alabama,AL,1,2018,9,46.5372983185362
Alabama,AL,1,2018,10,115.370852134175
Alabama,AL,1,2018,11,39.2778561868023
Alabama,AL,1,2018,12,21.1722197464587
Alabama,AL,1,2019,1,195.561674374332
Alabama,AL,1,2019,2,123.408472719616
Alabama,AL,1,2019,3,57.0333223070983
Alabama,AL,1,2019,4,45.9660967306813
Alabama,AL,1,2019,5,188.626326544555
Alabama,AL,1,2019,6,137.812456086338
Alabama,AL,1,2019,7,172.591050018142
Alabama,AL,1,2019,8,50.3353377267782
Alabama,AL,1,2019,9,49.4925494556788
Alabama,AL,1,2019,10,79.88735601461001
Alabama,AL,1,2019,11,84.4894875549093
Alabama,AL,1,2019,12,112.352994690201
